price,listing-location,bed,bath,carport,surface_area,building_area,price_category,cluster,cluster_selected,pca1,pca2
1079000000.0,36,-0.09943445811923131,0.8558713954882622,1.3425174161138924,-0.0032270210273870528,0.17310441729233372,High,0,0,-396893753.6485698,6.389293681024991
170000000.0,22,-0.09943445811923131,-0.15176276291132096,-0.5835565652957373,-0.4638842726868651,0.47449216148927714,Very Low,0,0,-1305893753.6485698,-7.450663207139726
695000000.0,4,-1.0897322881090163,-0.15176276291132096,-0.5835565652957373,-0.5150684117601404,-0.015262922830755919,Low,0,0,-780893753.6485698,-25.542588355241975
560000000.0,47,-0.09943445811923131,-1.159396921310904,-0.5835565652957373,-0.2847397859304014,-0.6368751452369517,Low,0,0,-915893753.6485698,17.481152437795206
200000000.0,35,-1.0897322881090163,-1.159396921310904,-0.5835565652957373,-1.5387511932256472,-1.3338343036923834,Very Low,0,0,-1275893753.6485698,5.544518107726564
1047000000.0,12,1.8811612018603385,0.8558713954882622,-0.5835565652957373,0.1247333266558013,1.058430915870855,High,0,0,-428893753.6485698,-17.605486647254818
560000000.0,47,-0.09943445811923131,-1.159396921310904,-0.5835565652957373,-0.2847397859304014,-0.6368751452369517,Low,0,0,-915893753.6485698,17.481152437795206
2001000000.0,13,-0.09943445811923131,-0.15176276291132096,1.3425174161138924,2.1976909591234524,-0.07177312486768281,High,0,0,525106246.3514302,-16.77202606147816
1006000000.0,36,1.8811612018603385,1.8635055538878453,1.3425174161138924,-0.1311873687105754,1.8684104784001403,High,0,0,-469893753.6485698,6.40123171705795
2004000000.0,25,-0.09943445811923131,0.8558713954882622,-0.5835565652957373,-0.1311873687105754,2.2451451586463196,High,0,0,528106246.3514302,-4.773083703174347
875000000.0,36,-0.09943445811923131,-0.15176276291132096,-0.5835565652957373,0.6365747173885546,-0.2978139330153904,Medium,0,0,-600893753.6485698,6.425623669593211
570000000.0,36,-1.0897322881090163,-1.159396921310904,-0.5835565652957373,-0.9501335938829808,-0.957099623446204,Low,0,0,-905893753.6485698,6.479600153407393
300000000.0,51,-1.0897322881090163,-1.159396921310904,-0.5835565652957373,-1.5387511932256472,-1.3338343036923834,Very Low,0,0,-1175893753.6485698,21.526933204037793
750000000.0,37,0.8908633718705536,-0.15176276291132096,-0.5835565652957373,0.5086143697053663,-0.20363026295384554,Medium,0,0,-725893753.6485698,7.447291572305776
1085000000.0,36,0.8908633718705536,1.8635055538878453,1.3425174161138924,1.1740081776579456,1.8684104784001403,High,0,0,-390893753.6485698,6.387784912499402
745000000.0,43,-0.09943445811923131,-1.159396921310904,3.2685913975235223,2.2744671677333654,1.4916757981539612,Medium,0,0,-730893753.6485698,13.448785642006467
1007000000.0,12,0.8908633718705536,0.8558713954882622,1.3425174161138924,1.2507843862678587,0.45565542747696813,High,0,0,-468893753.6485698,-17.598147769374435
4002000000.0,37,0.8908633718705536,0.8558713954882622,1.3425174161138924,-0.1311873687105754,-0.07177312486768281,High,0,2,2526106246.35143,6.875600464724602
455000000.0,62,-1.0897322881090163,-1.159396921310904,-0.5835565652957373,-1.5131591236890096,-1.051283293507749,Low,0,0,-1020893753.6485698,32.49969744253988
1001000000.0,36,0.8908633718705536,0.8558713954882622,1.3425174161138924,1.3019685253411342,0.9265737777846922,High,0,0,-474893753.6485698,6.4028814554284175
850000000.0,15,-0.09943445811923131,-0.15176276291132096,-0.5835565652957373,0.38065402202217796,-0.3919976030769352,Medium,0,0,-625893753.6485698,-14.56998929732903
3005000000.0,12,3.8617568618399085,-0.15176276291132096,1.3425174161138924,-0.1311873687105754,-0.07177312486768281,High,0,2,1529106246.3514302,-17.949736103772864
1003000000.0,62,-0.09943445811923131,-0.15176276291132096,-0.5835565652957373,0.3550619524855403,1.8684104784001403,High,0,0,-472893753.6485698,32.403073754237425
4008000000.0,36,-0.09943445811923131,-0.15176276291132096,-0.5835565652957373,2.939860975685945,-0.07177312486768281,High,0,2,2532106246.35143,5.875612225219729
1085000000.0,36,0.8908633718705536,0.8558713954882622,1.3425174161138924,0.38065402202217796,1.2091247879693268,High,0,0,-390893753.6485698,6.388015662986174
4075000000.0,34,1.8811612018603385,-0.15176276291132096,1.3425174161138924,-0.1311873687105754,-0.07177312486768281,High,0,2,2599106246.35143,3.86283860888123
2000000000.0,12,-0.09943445811923131,-0.15176276291132096,1.3425174161138924,1.9417702637570757,2.4335124987694092,High,0,0,524106246.3514302,-17.771880173424655
1004000000.0,12,-0.09943445811923131,-0.15176276291132096,1.3425174161138924,2.172098889586815,0.9265737777846922,High,0,0,-471893753.6485698,-17.59691139885818
765000000.0,13,-0.09943445811923131,-0.15176276291132096,1.3425174161138924,-0.2847397859304014,-0.3919976030769352,Medium,0,0,-710893753.6485698,-16.555231897554528
2002000000.0,9,-0.09943445811923131,0.8558713954882622,-0.5835565652957373,0.48302230016872866,0.45565542747696813,High,0,0,526106246.3514302,-20.772637356600185
9009000000.0,36,0.8908633718705536,1.8635055538878453,-0.5835565652957373,-0.1311873687105754,-0.07177312486768281,Very High,0,3,7533106246.35143,4.995922366365338
7005000000.0,36,-0.09943445811923131,-0.15176276291132096,-0.5835565652957373,-0.1311873687105754,-0.07177312486768281,Very High,0,3,5529106246.35143,5.348836434021752
1095000000.0,12,-0.09943445811923131,0.8558713954882622,-0.5835565652957373,0.2015095352657143,1.6423696702524329,High,0,0,-380893753.6485698,-17.61336678218148
1008000000.0,36,-0.09943445811923131,-0.15176276291132096,1.3425174161138924,0.68775885646183,-0.2978139330153904,High,0,0,-467893753.6485698,6.402175148735058
